Number,volume,mass,Firmness,TST,TA,Zs,θ,L1,A1,B1,L2,A2,B2
2,120.032471594147,149.44,3.2325,11,0.74236,1.4014,-46.85,2579,996,957,4637,1910,2726
3,127.292223234261,152.68,0.595,10.7,0.68876,1.0513,-36.721,2683,398,395,5637,1267,3964
4,127.15462656,155.77,1.24,10.4,0.69412,1.0262,-40.53,2509,746,262,5697,1375,3701
5,121.895087924352,145.71,1.03,10.7,0.8509,0.9067,-33.622,2656,680,1063,4461,1636,2880
6,103.607910389147,150.79,0.68,9.9,0.6767,0.8501,-32.092,2427,442,31,4958,1740,3330
7,115.172774472656,151.85,0.7775,10.5,0.74504,0.857,-33.771,2640,509,216,6057,934,3997
8,123.731846197288,150.07,1.45,10.2,0.79462,1.384,-39.464,2728,1401,1005,3784,2104,2178
9,131.841820105843,158.65,3.2875,10.6,0.82812,1.3092,-43.092,2736,964,543,4738,1882,2843
10,121.687185687248,153.81,3.645,10.5,0.74102,1.3371,-40.07,2142,613,154,4564,1985,2744
11,115.975835677558,147.91,3.125,8.9,0.47704,1.3229,-42.02,2714,1138,877,5259,1642,3290
12,111.899328443113,153.61,0.685,10,0.94872,0.9278,-32.528,2754,1094,650,5752,1088,4187
13,132.327761646505,156.71,1.5925,11.3,0.9581,1.3284,-39.189,2585,1293,1064,5834,1092,4535
14,113.35114504207,154.22,3.795,11.1,0.82142,1.3785,-45.69,2503,1113,617,5171,1672,3204
15,127.583031006703,155.54,3.35,10.4,0.83482,1.3096,-43.79,3591,1137,1074,5716,1361,4047
16,126.956050916735,157.56,0.6375,10.2,0.75442,1.1605,-43.14,2856,744,97,5432,1562,3445
17,124.137491219985,147.29,3.7125,10.1,0.82544,1.3773,-44.74,2503,1188,696,5425,1283,3796
18,124.42347595125,148.89,0.91,8.7,0.79194,1.0679,-36.988,3625,1825,2108,5802,896,3348
19,128.981989071986,155.12,3.38,8.9,0.7839,1.5111,-44.82,3131,1023,503,4917,1653,3089
20,125.79928311171,152.24,4.1075,9.8,0.92058,1.41,-43.16,3233,1753,1640,6877,497,4385
21,123.177398881722,155.38,0.85,9.5,0.8509,0.9092,-34.555,2999,1249,849,4907,1424,3103
22,123.70183362153,144.31,0.7175,9.5,1.06262,1.0598,-36.835,3253,1468,910,5361,1616,3128
23,132.641905129459,161.75,1.495,9.6,0.8978,1.1366,-41.56,2769,1001,589,4969,1448,3228
24,127.475839828028,153.13,1.23,10.6,0.94068,1.0103,-36.009,2635,534,241,5509,1363,3513
